Date,Destination,Tickets_Booked,Train_Delay_Minutes,Weather_Impact,Festival_Impact,Festival_Name,Congestion
2020-11-22,Lucknow NR,1496,13,0.3,0,,0.34
2022-09-30,Kolkata,1158,22,0.1,0,,0.4
2023-08-08,Bengaluru City,694,44,0.3,0,,0.52
2022-11-07,Lucknow NR,679,0,0.3,0,,0.31
2023-03-28,Bengaluru City,508,0,0.8,0,,0.41
2022-12-04,Bengaluru City,1089,14,0.1,0,,0.5
2020-08-09,Lucknow NR,836,7,0.3,0,,0.31
2023-02-24,Chennai Central,641,4,0.8,0,,0.74
2022-03-28,Lucknow NR,892,0,0.3,0,,0.39
2020-01-12,Ahmedabad,1176,27,0.9,0,,0.52
2019-02-09,Lucknow NR,1445,27,0.8,0,,0.57
2021-04-04,Chennai Central,1329,0,0.3,0,,0.29
2021-02-11,Lucknow NR,973,20,0.1,0,,0.19
2021-11-28,Hyderabad Deccan,1125,54,0.9,0,,0.33
2022-02-19,Patna Junction,1120,43,0.9,0,,0.23
2021-07-13,Mumbai Central,857,0,0.6,0,,0.55
2022-12-17,Pune Junction,1055,53,0.9,0,,0.33
2019-08-07,Patna Junction,1041,0,0.8,0,,0.67
2022-08-23,Mumbai Central,995,17,0.3,0,,0.16
2019-07-21,Kolkata,1295,37,0.1,0,,0.58
2023-10-24,Bengaluru City,515,20,0.8,1,Diwali,0.57
2022-02-27,Mumbai Central,514,15,0.9,0,,0.15
2021-06-01,Kolkata,802,52,0.1,0,,0.3
2023-06-24,Bengaluru City,1129,0,0.1,0,,0.54
2022-11-23,Ahmedabad,706,0,0.8,0,,0.6
2019-04-07,Ahmedabad,1292,0,0.1,0,,0.29
2021-01-21,New Delhi,759,0,0.1,0,,0.31
2020-07-08,Pune Junction,1186,6,0.9,0,,0.36
2021-11-09,Bengaluru City,1462,0,0.3,0,,0.52
2021-12-02,New Delhi,1097,49,0.1,0,,0.34
2019-08-18,Kolkata,1350,43,0.1,0,,0.47
2020-05-16,Ahmedabad,828,32,0.8,0,,0.36
2023-11-02,Ahmedabad,1452,14,0.6,0,,0.37
2019-02-24,New Delhi,654,51,0.8,0,,0.33
2023-05-15,Patna Junction,1229,32,0.6,0,,0.57
2020-01-25,Lucknow NR,724,32,0.9,0,,0.1
2020-10-17,New Delhi,1109,47,0.9,0,,0.4
2022-12-21,Hyderabad Deccan,726,0,0.9,0,,0.16
2020-01-29,Lucknow NR,1152,0,0.1,0,,0.57
2022-01-10,New Delhi,820,58,0.9,0,,0.57
2020-04-01,Patna Junction,1144,0,0.8,0,,0.87
2022-09-05,Patna Junction,544,41,0.3,0,,0.15
2022-04-18,Bengaluru City,1399,39,0.1,0,,0.27
2021-01-04,Chennai Central,1055,43,0.6,0,,0.33
2020-11-18,Pune Junction,877,45,0.3,0,,0.43
2020-08-09,Kolkata,984,37,0.3,0,,0.13
2023-05-17,Patna Junction,1292,44,0.6,0,,0.73
2020-04-06,Bengaluru City,1422,34,0.6,0,,0.76
2021-04-25,Bengaluru City,745,7,0.8,0,,0.83
2022-12-16,New Delhi,617,51,0.9,0,,0.49
2022-01-28,Bengaluru City,851,0,0.8,0,,0.86
2020-08-06,Hyderabad Deccan,1419,25,0.3,0,,0.19
2021-05-28,Lucknow NR,772,41,0.6,0,,0.79
2023-05-19,New Delhi,579,0,0.3,0,,0.44
2023-06-21,Mumbai Central,1059,9,0.3,0,,0.39
2023-03-14,Chennai Central,551,0,0.8,0,,0.66
2023-09-25,Pune Junction,1113,40,0.1,0,,0.52
2020-04-07,Lucknow NR,618,21,0.9,0,,0.16
2019-02-08,Ahmedabad,633,35,0.1,0,,0.38
2019-02-12,Ahmedabad,1153,0,0.1,0,,0.4
2020-05-12,Kolkata,552,0,0.8,0,,0.77
2022-03-22,New Delhi,1052,0,0.1,0,,0.1
2020-02-15,Chennai Central,1142,0,0.6,0,,0.72
2023-09-30,Lucknow NR,940,37,0.3,0,,0.25
2020-07-06,Mumbai Central,1176,0,0.8,0,,0.45
2023-10-01,Chennai Central,690,34,0.1,0,,0.52
2023-07-09,Bengaluru City,1183,32,0.9,0,,0.53
2023-01-12,Kolkata,924,26,0.6,0,,0.43
2022-03-26,Kolkata,533,14,0.9,0,,0.1
2021-03-09,Kolkata,1166,0,0.8,0,,0.67
2022-06-20,Mumbai Central,585,35,0.3,0,,0.35
2020-04-19,Kolkata,513,52,0.8,0,,0.32
2023-12-26,New Delhi,1274,0,0.9,0,,0.14
2023-12-20,Lucknow NR,733,0,0.1,0,,0.3
2021-12-26,Lucknow NR,1097,21,0.6,0,,0.52
2022-09-11,Hyderabad Deccan,1283,46,0.8,0,,0.76
2023-11-26,Ahmedabad,629,52,0.6,0,,0.45
2019-10-31,Lucknow NR,604,0,0.6,0,,0.61
2020-12-01,Hyderabad Deccan,956,29,0.1,0,,0.56
2023-12-27,Mumbai Central,873,8,0.6,0,,0.34
2020-08-06,Bengaluru City,829,50,0.8,0,,0.71
2022-10-14,Lucknow NR,637,0,0.1,0,,0.4
2023-03-22,Lucknow NR,786,22,0.3,0,,0.48
2023-04-15,Ahmedabad,1284,16,0.1,0,,0.53
2023-03-02,Lucknow NR,517,0,0.1,0,,0.42
2023-01-18,Ahmedabad,1247,21,0.8,0,,0.88
2020-03-02,Kolkata,727,9,0.3,0,,0.17
2019-02-07,Patna Junction,680,34,0.8,0,,0.41
2019-01-17,New Delhi,936,0,0.8,0,,0.47
2019-09-12,Chennai Central,558,0,0.9,0,,0.39
2020-05-18,Hyderabad Deccan,1336,18,0.8,0,,0.43
2022-07-03,Lucknow NR,621,23,0.1,0,,0.53
2022-06-23,Patna Junction,656,0,0.3,0,,0.23
2022-04-08,Chennai Central,660,20,0.3,0,,0.46
2023-06-25,Patna Junction,1269,33,0.9,0,,0.54
2022-09-06,Hyderabad Deccan,570,5,0.9,0,,0.3
2023-05-17,Hyderabad Deccan,1095,0,0.3,0,,0.5
2020-06-28,Patna Junction,732,22,0.9,0,,0.35
2023-02-11,Ahmedabad,503,0,0.1,0,,0.55
