Tickets_Booked,Train_Delay_Minutes,Weather_Impact,Festival_Impact,Congestion,Year,Month,Day,Weekday,Is_Weekend,Is_Festival_Week,Destination_Ahmedabad,Destination_Bengaluru City,Destination_Chennai Central,Destination_Hyderabad Deccan,Destination_Kolkata,Destination_Lucknow NR,Destination_Mumbai Central,Destination_New Delhi,Destination_Patna Junction,Destination_Pune Junction,Festival_Name_Christmas,Festival_Name_Diwali,Festival_Name_Holi,Festival_Name_Independence Day,Festival_Name_Makar Sankranti,Festival_Name_Tamil New Year,Tickets_Booked_Norm,Weekdays_Norm
1496,13,0.3,0,0.5013829519738496,2020,11,22,6,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.996,0.8333333333333334
1158,22,0.1,0,0.3325789958930517,2022,9,30,4,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.658,0.5
694,44,0.3,0,0.0901852317492247,2023,8,8,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.194,0.0
679,0,0.3,0,0.044505908976615535,2022,11,7,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.179,-0.16666666666666666
508,0,0.8,0,0.043416310451764306,2023,3,28,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.008,0.0
1089,14,0.1,0,0.3990445059089766,2022,12,4,6,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.589,0.8333333333333334
836,7,0.3,0,0.33542871511189337,2020,8,9,6,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.336,0.8333333333333334
641,4,0.8,0,0.20258151035118596,2023,2,24,4,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.141,0.5
892,0,0.3,0,0.09806386723661051,2022,3,28,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.392,-0.16666666666666666
1176,27,0.9,0,0.42092029167714357,2020,1,12,6,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.676,0.8333333333333334
1445,27,0.8,0,0.446651579917861,2019,2,9,5,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.945,0.6666666666666666
1329,0,0.3,0,0.4593915011315061,2021,4,4,6,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.829,0.8333333333333334
973,20,0.1,0,0.24415388483781741,2021,2,11,3,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.473,0.3333333333333333
1125,54,0.9,0,0.40809655519235605,2021,11,28,6,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.625,0.8333333333333334
1120,43,0.9,0,0.3649316905540189,2022,2,19,5,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.62,0.6666666666666666
857,0,0.6,0,0.13117089933785933,2021,7,13,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.357,0.0
1055,53,0.9,0,0.3485877126812505,2022,12,17,5,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.555,0.6666666666666666
1041,0,0.8,0,0.2193445645796664,2019,8,7,2,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.541,0.16666666666666666
995,17,0.3,0,0.16587042159081383,2022,8,23,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.495,0.0
1295,37,0.1,0,0.45084234347498114,2019,7,21,6,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.795,0.8333333333333334
515,20,0.8,1,0.5480680580001676,2023,10,24,1,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.015,0.0
514,15,0.9,0,0.2544631631883329,2022,2,27,6,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.014,0.8333333333333334
802,52,0.1,0,0.117341379599363,2021,6,1,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.302,0.0
1129,0,0.1,0,0.3671947028748638,2023,6,24,5,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.629,0.6666666666666666
706,0,0.8,0,0.13511021708155224,2022,11,23,2,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.206,0.16666666666666666
1292,0,0.1,0,0.4500880060346995,2019,4,7,6,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.792,0.8333333333333334
759,0,0.1,0,0.19034448076439525,2021,1,21,3,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.259,0.3333333333333333
1186,6,0.9,0,0.25580420752661137,2020,7,8,2,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.686,0.16666666666666666
1462,0,0.3,0,0.28329561646131923,2021,11,9,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.962,0.0
1097,49,0.1,0,0.27533316570279104,2021,12,2,3,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.597,0.3333333333333333
1350,43,0.1,0,0.4646718632134775,2019,8,18,6,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.85,0.8333333333333334
828,32,0.8,0,0.29150951303327466,2020,5,16,5,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.328,0.6666666666666666
1452,14,0.6,0,0.3645964294694493,2023,11,2,3,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.952,0.3333333333333333
654,51,0.8,0,0.28966557706814183,2019,2,24,6,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.154,0.8333333333333334
1229,32,0.6,0,0.18280110636157906,2023,5,15,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.729,-0.16666666666666666
724,32,0.9,0,0.26535914843684516,2020,1,25,5,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.224,0.6666666666666666
1109,47,0.9,0,0.3621657866063196,2020,10,17,5,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.609,0.6666666666666666
726,0,0.9,0,0.14013913335009637,2022,12,21,2,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.226,0.16666666666666666
1152,0,0.1,0,0.24725504987008629,2020,1,29,2,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.652,0.16666666666666666
820,58,0.9,0,0.07995976866985165,2022,1,10,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.32,-0.16666666666666666
1144,0,0.8,0,0.24524348336266866,2020,4,1,2,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.644,0.16666666666666666
544,41,0.3,0,0.010560724163942669,2022,9,5,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.044,-0.16666666666666666
1399,39,0.1,0,0.22554689464420416,2022,4,18,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.899,-0.16666666666666666
1055,43,0.6,0,0.13904953482524515,2021,1,4,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.555,-0.16666666666666666
877,45,0.3,0,0.17810745117760451,2020,11,18,2,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.377,0.16666666666666666
984,37,0.3,0,0.37264269549911994,2020,8,9,6,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.484,0.8333333333333334
1292,44,0.6,0,0.2824574637498952,2023,5,17,2,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.792,0.16666666666666666
1422,34,0.6,0,0.23133014835302992,2020,4,6,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.922,-0.16666666666666666
745,7,0.8,0,0.3125471460900176,2021,4,25,6,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.245,0.8333333333333334
617,51,0.9,0,0.196546810828933,2022,12,16,4,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.117,0.5
851,0,0.8,0,0.25538513117089934,2022,1,28,4,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.351,0.5
1419,25,0.3,0,0.3562987176263515,2020,8,6,3,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.919,0.3333333333333333
